Article_ID,Article_Title,Article_URL,Article_Authors,Type,Article_Year,Excluded_Reason
WF234D6A,Quantifying Failure for Critical Water Infrastructures under Cyber-Physical Threats,https://doi.org/10.1061/(ASCE)EE.1943-7870.0001765,"Moraitis, Georgios; Nikolopoulos, Dionysios; Bouziotas, Dimitrios; Lykou, Archontia; Karavokiros, George; Makropoulos, Christos",journalArticle,2020,"Valuable from a hydraulic resilience engineering perspective, this paper is not a good fit for cybersecurity-focused SLR"
3TQP5K22,Cyber-physical Systems (CPS) Security: State of the Art and Research Opportunities for Information Systems Academics,https://core.ac.uk/works/17822367/,,journalArticle,2020,Does not have water utility focus
NF9TMEM3,Looking back to look forward: Lessons learnt from cyber-attacks on industrial control systems,https://doi.org/10.1016/j.ijcip.2021.100464,"Miller, Thomas; Staves, Alexander; Maesschalck, Sam; Sturdee, Miriam; Green, Benjamin",journalArticle,2021,"Mentions Maroochy and Israel water, but on very high level. More focus on collecting all ICS cases."
KRTNT8ZX,Cyber Conflicts in Outer Space: Lessons from SCADA Cybersecurity,https://scholarlycommons.law.emory.edu/ecgar/vol8/iss1/1/,"Balleste, Roy",journalArticle,2021,"While study mentions water utility case as an example, it is focused on satellites and space."
PRXKBNJ8,"Resilient control systems—basis, benchmarking and benefit",https://ieeexplore.ieee.org/abstract/document/9399144/,"Rieger, Craig; Schultz, Kevin; Carroll, Thomas; McJunkin, Timothy",journalArticle,2021,General high-level control systems resilience definition
PCHCMKF9,A Cyber-Insurance Scheme for Water Distribution Systems Considering Malicious Cyberattacks,https://ieeexplore.ieee.org/document/9298804/,"Zhang, Yunfan; Wang, Lingfeng; Liu, Zhaoxi; Wei, Wei",journalArticle,2021,Focuses narrowly on potential threats and discusses insurances instead.
6DIR8ZJC,A Survey on Industrial Control System Testbeds and Datasets for Security Research,https://core.ac.uk/works/107784117/?t=3f1f1710dd96dbc0bb820a725820b278-107784117,,journalArticle,2021,Discusses only testbeds/datasets and cyber-incident research
S4JUGT8H,A behavioral-based forensic investigation approach for analyzing attacks on water plants using GANs,https://www.sciencedirect.com/science/article/pii/S2666281721001062,"Neshenko, Nataliia; Bou-Harb, Elias; Furht, Borko",journalArticle,2021,"Discusses forensics using GANs, not useful for research question purposes."
RPXSBAMR,Dependent infrastructure system modeling: A case study of the St. Kitts power and water distribution systems,https://www.sciencedirect.com/science/article/pii/S0951832020309078,"Stødle, Kaia; Metcalfe, Caroline A.; Brunner, Logan G.; Saliani, Julian N.; Flage, Roger; Guikema, Seth D.",journalArticle,2021,"Physical hazard-focused, not cyber-incident-oriented"
RN6C3K6B,Cyber-Attacks Against Critical Infrastructure,https://doi.org/10.1007/978-3-030-91293-2_1,"Lehto, Martti",bookSection,2022,A broad overview of cyber-attack threats to critical infrastructure systems. Few water reletaed cases which can be utilized elsewhere.
Q8LLG5TN,Cyber-Physical Coordinated Attacks: The Emerging Complexity of Crisis Management,https://www.jstor.org/stable/48703292,"Checco, John C.",journalArticle,2022,"Focuses on highlevel threats in ""all industries"" without water sector specific pointers"
5FYHDXCR,Cybersecurity of industrial cyber-physical systems: A review,https://dl.acm.org/doi/abs/10.1145/3510410,,journalArticle,2022,"General ICS paper without water utility specific context. Mentions few notable cases in the water sector, cryptominer in OT being one of them."
I6CH5Y47,Review of security principles and security functions in critical information infrastructure protection,https://www.researchgate.net/profile/Prasetyo-Adi/publication/364462832_Review_of_Security_Principles_and_Security_Functions_in_Critical_Information_Infrastructure_Protection/links/63c9ff87d9fb5967c2ece60e/Review-of-Security-Principles-and-Security-Functions-in-Critical-Information-Infrastructure-Protection.pdf,,journalArticle,2022,Very high-level look into threats in critical infrastructure
L5REIDJC,Game-based training in critical infrastructure protection and resilience,https://www.sciencedirect.com/science/article/pii/S2212420922003284,"Galbusera, Luca; Cardarilli, Monica; Lara, Marina Gómez; Giannopoulos, Georgios",journalArticle,2022,"Provides examples of gamification in training exercises, not water specific or discuss any threat actors or attack vectors etc."
WV3SFDW8,Joint Cascade Vulnerability Assessment of Interdependent Power–Water Infrastructures,https://ieeexplore.ieee.org/abstract/document/10261437/,"Atat, Rachad; Ismail, Muhammad; Serpedin, Erchin",journalArticle,2023,Research looks into power-water -systems and their interlinked vulnerabilities (failure in one causing issues in another)
