Article_ID,Article_Title,Article_URL,Article_Authors,Type,Article_Year,Excluded_Reason
GGATKJVE,"Attacks against energy, water and other critical infrastructure in the EU",https://ieeexplore.ieee.org/abstract/document/9337751/,"Bederna, Zsolt; Rajnai, Zoltan; Szadeczky, Tamas",conferencePaper,2020,Only available as paid content
RRZABICF,Cyber Security Challenges to Arctic Critical Infrastructures,https://ebooks.iospress.nl/doi/10.3233/NICSP200043,,journalArticle,2020,Only paid version available
7WE8WIYY,Critical Infrastructure: Water and Wastewater Systems Sector,https://link.springer.com/10.1007/978-3-319-70488-3_63,,bookSection,2021,Not available without payment
Z2DJIAWN,Addressing Cyber Security Threats from Russia in the EU,https://brill.com/downloadpdf/display/book/edcoll/9789004453715/BP000016.pdf,"Marazis, Andreas",bookSection,2021,Only paid version available
PVS3LFJW,Can Replay Attacks Designed to Steal Water from Water Distribution Systems Remain Undetected?,https://dl.acm.org/doi/10.1145/3406764,"Palleti, Venkata Reddy; Mishra, Vishrut Kumar; Ahmed, Chuadhry Mujeeb; Mathur, Aditya",journalArticle,2021,"Paid material, can't access"
IFBMTH62,MITRE ICS Attack Simulation and Detection on EtherCAT Based Drinking Water System,https://ieeexplore.ieee.org/document/9486331/,"Toker, Firdevs Sevde; Ovaz Akpinar, Kevser; ÖZÇELİK, İbrahim",conferencePaper,2021,"Only paid version available,"
QGKZXRD7,CENTER Water: A Secure Testbed Infrastructure Proposal For Waste and Potable Water Management,https://ieeexplore.ieee.org/document/9486364/,"Özçelİk, İbrahim; İskefiyeli, Murat; Balta, Musa; Akpinar, Kevser Ovaz; Toker, Firdevs Sevde",conferencePaper,2021,Only paid version available
GXD4RWGU,NATIONAL RESILIENCE THROUGH AI-DRIVEN DATA ANALYTICS AND CYBERSECURITY FOR REAL-TIME CRISIS RESPONSE AND INFRASTRUCTURE PROTECTION,https://researchinnovationjournal.com/index.php/AJSRI/article/view/30,"Mintoo, Abdul Awal; Saimon, Abu Saleh Muhammad; Bakhsh, Mohammed Majid; Akter, Marjina",journalArticle,2022,Full text not available
5MHFBYUK,Intrusion detection in water distribution systems using machine learning techniques,https://ieeexplore.ieee.org/abstract/document/10121852/,"Mabunda, Ntsako; Ramotsoela, Daniel T.; Abu-Mahfouz, Adnan M.",conferencePaper,2022,Only paid access available
NYSEHKUB,Analysis of Cross-Domain Security and Privacy Aspects of Cyber-Physical Systems,https://link.springer.com/10.1007/s10776-022-00559-6,"Prasat, Kamal; Sanjay, S.; Ananya, V.; Kannadasan, R.; Rajkumar, S.; Raut, Roshani; Selvanambi, Ramani",journalArticle,2022,Only paid access available
DA6TMXDB,Securing Over-the-Air Firmware Updates (FOTA) for Industrial Internet of Things (IIOT) Devices,https://ieeexplore.ieee.org/document/10025441/,"Crowther, Kenneth G.; Upadrashta, Radhika; Ramachandra, Gururaj",conferencePaper,2022,Full text not available 
